system:index,BoundaryScore,C3_-1_-1,C3_-1_0,C3_-1_1,C3_0_-1,C3_0_0,C3_0_1,C3_1_-1,C3_1_0,C3_1_1,Class,Method,Original_ID,PointID,RF_Pred,WC_-1_-1,WC_-1_0,WC_-1_1,WC_0_-1,WC_0_0,WC_0_1,WC_1_-1,WC_1_0,WC_1_1,center_C3,center_WC,has_C1,has_C1_nb8,has_C3,lat,lon,margin,n_C1,n_C1_nb8,n_C2,n_C2_nb8,n_C3,n_C3_nb8,note,prob_1,prob_2,prob_3,suggest_C_if_uncertain,.geo
00000000000000000087,928.8273576681606,2,1,1,2,1,1,2,2,1,1,BAMS150,3449,136,1,10,50,50,10,50,50,10,10,50,1,50,1,1,0,31.959946768054895,118.54837734127877,0.3833333333333333,5,4,4,4,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6899999976158142,0.30666666666666664,0.0033333333333333335,1,"{""type"":""Point"",""coordinates"":[118.54837734127878,31.9599467680549]}"
0000000000000000008f,917.88823826511,2,1,1,2,1,1,2,1,1,1,BAMS150,1422,144,1,10,50,50,10,50,50,10,50,50,1,50,1,1,0,31.870474565756588,118.48504611374833,0.3866666666666666,6,5,3,3,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6899999976158142,0.30333333333333334,0.006666666666666667,1,"{""type"":""Point"",""coordinates"":[118.48504611374835,31.870474565756588]}"
00000000000000000046,1128.5061917463092,1,2,2,1,1,2,1,1,2,1,BAMS150,1529,71,1,50,10,10,50,50,10,50,50,10,1,50,1,1,0,32.02794923506274,118.73190315382436,0.3866666666666667,5,4,4,4,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6933333333333334,0.30666666666666664,0.0,1,"{""type"":""Point"",""coordinates"":[118.73190315382436,32.02794923506275]}"
00000000000000000063,1023.9364710935677,2,2,2,1,1,2,1,1,1,1,BAMS150,2929,100,1,10,10,10,50,50,10,50,50,50,1,50,1,1,0,31.796453386345146,118.63578341842356,0.42000000000000004,5,4,4,4,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6933333333333334,0.2733333333333333,0.03333333333333333,1,"{""type"":""Point"",""coordinates"":[118.63578341842356,31.79645338634514]}"
00000000000000000057,1056.9190226469061,1,1,1,1,1,1,1,1,1,1,BAMS150,4058,88,1,50,50,50,50,50,50,50,50,50,1,50,1,1,0,32.21560729791531,119.0688612168976,0.49000000953674316,9,8,0,0,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6966666666666667,0.09666666666666666,0.20666666666666667,1,"{""type"":""Point"",""coordinates"":[119.06886121689759,32.21560729791531]}"
00000000000000000004,2470.9375587295763,1,1,1,1,1,1,2,2,2,1,BAMS150,710,5,1,50,50,50,50,50,50,40,40,40,1,50,1,1,0,31.92572095572994,119.0508050796868,0.39999999999999997,6,5,3,3,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.699999988079071,0.30000001192092896,0.0,1,"{""type"":""Point"",""coordinates"":[119.05080507968681,31.925720955729947]}"
00000000000000000075,960.4875688258669,1,1,1,2,2,2,2,2,2,1,BAMS150,4179,118,1,50,50,50,10,10,10,10,10,10,2,10,1,1,0,31.80193310957827,118.73783203469957,0.4066666666666667,3,3,6,5,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7033333333333334,0.2966666666666667,0.0,1,"{""type"":""Point"",""coordinates"":[118.73783203469957,31.80193310957827]}"
00000000000000000090,910.7553178677963,1,1,1,2,1,1,1,1,1,1,BAMS150,4511,145,1,50,50,50,60,50,50,50,50,50,1,50,1,1,0,32.03145266467081,118.77080020562674,0.4066666666666667,8,7,1,1,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7033333333333334,0.2966666666666667,0.0,1,"{""type"":""Point"",""coordinates"":[118.77080020562676,32.03145266467081]}"
0000000000000000002f,1237.0996132023947,2,2,2,2,1,1,2,2,1,1,BAMS150,1979,48,1,40,40,10,10,50,50,10,10,50,1,50,1,1,0,31.827984252817735,118.8314364873048,0.44333333333333336,3,2,6,6,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7066666666666667,0.2633333333333333,0.029999999329447746,1,"{""type"":""Point"",""coordinates"":[118.83143648730481,31.827984252817735]}"
00000000000000000084,933.5244389371435,2,2,1,2,1,1,1,1,1,1,BAMS150,2888,133,1,10,10,50,10,50,50,50,50,50,1,50,1,1,0,32.08014135307008,118.63353763021328,0.41999998688697815,6,5,3,3,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7099999785423279,0.28999999165534973,0.0,1,"{""type"":""Point"",""coordinates"":[118.63353763021328,32.08014135307008]}"
0000000000000000002a,1265.7172911515502,1,1,1,1,1,1,1,1,2,1,BAMS150,4273,43,1,50,50,50,50,50,50,50,50,10,1,50,1,1,0,31.883230642791087,118.9538768605303,0.46000000834465027,8,7,1,1,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7133333333333334,0.03333333333333333,0.25333333333333335,1,"{""type"":""Point"",""coordinates"":[118.9538768605303,31.883230642791087]}"
0000000000000000008d,919.5448022865955,1,1,2,2,2,2,2,2,2,1,BAMS150,888,142,1,50,50,10,10,10,10,10,10,10,2,10,1,1,0,32.28145380824127,118.78274779890552,0.4266666666666667,2,2,7,6,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7133333333333334,0.2866666666666667,0.0,1,"{""type"":""Point"",""coordinates"":[118.78274779890556,32.28145380824127]}"
0000000000000000008e,918.5215666636796,2,1,1,2,1,1,2,2,2,1,BAMS150,3121,143,1,30,50,50,30,50,50,40,30,30,1,50,1,1,0,31.39095386709359,119.18115062741252,0.5,4,3,5,5,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7133333333333334,0.21333333333333335,0.07333333333333333,1,"{""type"":""Point"",""coordinates"":[119.18115062741253,31.390953867093582]}"
00000000000000000058,1055.4392769887365,1,1,1,1,1,1,2,1,1,1,BAMS150,3830,89,1,50,50,50,50,50,50,10,50,50,1,50,1,1,0,31.373346887524846,119.19480501973116,0.43333333333333335,8,7,1,1,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7166666666666667,0.2833333333333333,0.0,1,"{""type"":""Point"",""coordinates"":[119.19480501973118,31.373346887524853]}"
0000000000000000005e,1041.4065726261856,1,1,1,1,1,1,1,1,1,1,BAMS150,3109,95,1,50,50,50,50,50,50,50,50,50,1,50,1,1,0,32.18829851327808,118.67944154123178,0.43333333333333335,9,8,0,0,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7166666666666667,0.2833333333333333,0.0,1,"{""type"":""Point"",""coordinates"":[118.67944154123178,32.18829851327808]}"
00000000000000000062,1028.439533443028,2,2,1,2,1,1,2,1,1,1,BAMS150,3184,99,1,10,10,50,10,50,50,10,50,50,1,50,1,1,0,32.03711205096076,118.88533540435198,0.4533333333333333,5,4,4,4,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7200000286102295,0.013333333333333334,0.26666666666666666,1,"{""type"":""Point"",""coordinates"":[118.88533540435196,32.03711205096076]}"
00000000000000000082,935.9950445808295,1,1,1,1,1,1,2,2,2,1,BAMS150,4496,131,1,50,50,50,50,50,50,40,10,10,1,50,1,1,0,32.39913311046093,119.00391302185577,0.4466666666666667,6,5,3,3,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7233333333333334,0.27666666666666667,0.0,1,"{""type"":""Point"",""coordinates"":[119.00391302185575,32.39913311046092]}"
0000000000000000004b,1108.629546432076,1,1,1,1,1,1,1,1,1,1,BAMS150,1525,76,1,50,50,50,50,50,50,50,50,50,1,50,1,1,0,32.54412119731782,118.77996302152476,0.45333333333333337,9,8,0,0,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7266666666666667,0.2733333333333333,0.0,1,"{""type"":""Point"",""coordinates"":[118.77996302152476,32.544121197317814]}"
0000000000000000006d,983.562485860589,1,1,1,1,1,2,2,2,2,1,BAMS150,3144,110,1,50,50,50,50,50,30,40,30,30,1,50,1,1,0,32.15137775510076,118.74259310570538,0.45999999999999996,5,4,4,4,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7300000190734863,0.27000001072883606,0.0,1,"{""type"":""Point"",""coordinates"":[118.7425931057054,32.15137775510076]}"
0000000000000000004d,1106.6194731590876,1,1,2,1,1,2,1,1,2,1,BAMS150,1785,78,1,50,50,30,50,50,40,50,50,40,1,50,1,1,0,31.729528897678236,118.9367190386036,0.4733333333333334,6,5,3,3,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7366666666666667,0.2633333333333333,0.0,1,"{""type"":""Point"",""coordinates"":[118.9367190386036,31.729528897678243]}"
0000000000000000008a,925.468703780198,1,1,1,1,1,1,1,2,1,1,BAMS150,4916,139,1,50,50,50,50,50,50,50,40,50,1,50,1,1,0,32.39077877831862,118.918483238336,0.4733333333333334,8,7,1,1,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7366666666666667,0.2633333333333333,0.0,1,"{""type"":""Point"",""coordinates"":[118.918483238336,32.39077877831862]}"
0000000000000000007f,940.9026047107392,1,1,1,1,1,1,2,2,2,1,BAMS150,2051,128,1,50,50,50,50,50,50,30,40,40,1,50,1,1,0,32.282172460468566,118.86135038626598,0.47999998927116394,6,5,3,3,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7400000095367432,0.25999999046325684,0.0,1,"{""type"":""Point"",""coordinates"":[118.86135038626598,32.282172460468566]}"
00000000000000000044,1138.4068381569916,1,1,2,1,1,1,1,1,1,1,BAMS150,1740,69,1,50,50,10,50,50,50,50,50,50,1,50,1,1,0,32.32870519218596,118.92513077143848,0.48666666666666664,8,7,1,1,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7433333333333333,0.25666666666666665,0.0,1,"{""type"":""Point"",""coordinates"":[118.92513077143849,32.32870519218596]}"
00000000000000000050,1095.3644355189015,1,1,1,1,1,1,1,1,1,1,BAMS150,3712,81,1,50,50,50,50,50,50,50,50,50,1,50,1,1,0,31.96542649128802,118.89216260051128,0.48666666666666664,9,8,0,0,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7433333333333333,0.25666666666666665,0.0,1,"{""type"":""Point"",""coordinates"":[118.89216260051127,31.965426491288017]}"
0000000000000000002b,1257.4257851165244,1,1,2,1,1,2,1,2,2,1,BAMS150,3740,44,1,50,50,10,50,50,10,50,10,10,1,50,1,1,0,31.81522817578324,118.5743386529898,0.4966666666666667,5,4,4,4,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7466666666666667,0.25,0.0033333333333333335,1,"{""type"":""Point"",""coordinates"":[118.5743386529898,31.815228175783236]}"
00000000000000000095,903.5368458490941,1,1,1,1,1,1,1,2,1,1,BAMS150,4500,150,1,50,50,50,50,50,50,50,10,50,1,50,1,1,0,31.92940404839483,118.87150134897654,0.49333333333333335,8,7,1,1,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7466666666666667,0.25333333333333335,0.0,1,"{""type"":""Point"",""coordinates"":[118.87150134897655,31.929404048394826]}"
0000000000000000002e,1242.7561371696586,1,1,1,1,1,1,2,2,2,1,BAMS150,3446,47,1,50,50,50,50,50,50,10,10,10,1,50,1,1,0,31.793399114379135,118.5653555001486,0.5,6,5,3,3,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.75,0.25,0.0,1,"{""type"":""Point"",""coordinates"":[118.56535550014861,31.79339911437913]}"
00000000000000000070,970.0145080452576,1,1,1,1,1,1,2,1,1,1,BAMS150,2070,113,1,50,50,50,50,50,50,10,50,50,1,50,1,1,0,32.08732787534304,118.96645327450796,0.5,8,7,1,1,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.75,0.25,0.0,1,"{""type"":""Point"",""coordinates"":[118.96645327450796,32.08732787534305]}"
0000000000000000007d,946.8434765556549,1,1,1,1,1,1,1,1,1,1,BAMS150,3429,126,1,50,50,50,50,50,50,50,50,50,1,50,1,1,0,31.327712471091573,118.8811133225166,0.5066666666666666,9,8,0,0,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.75,0.006666666666666667,0.24333333333333335,1,"{""type"":""Point"",""coordinates"":[118.8811133225166,31.327712471091573]}"
00000000000000000011,1611.846545822979,2,2,2,1,1,2,1,1,1,1,BAMS150,4317,18,1,40,40,40,50,50,40,50,50,50,1,50,1,1,0,32.37595657613064,118.92926302174544,0.5066666666666666,5,4,4,4,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7533333333333333,0.24666666666666667,0.0,1,"{""type"":""Point"",""coordinates"":[118.92926302174544,32.37595657613064]}"
00000000000000000067,1008.3769232921045,1,1,1,2,1,1,2,2,1,1,BAMS150,1929,104,1,50,50,50,10,50,50,10,10,50,1,50,1,1,0,32.58724033095555,118.63802920663387,0.5199999809265137,6,5,3,3,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7533333333333333,0.23333333333333334,0.013333333333333334,1,"{""type"":""Point"",""coordinates"":[118.63802920663389,32.58724033095555]}"
00000000000000000072,968.1756299117135,1,1,1,1,1,1,1,1,1,1,BAMS150,1719,115,1,50,50,50,50,50,50,50,50,50,1,50,1,1,0,32.10008395237754,118.80933793131548,0.5133333333333333,9,8,0,0,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7533333333333333,0.23999999463558197,0.006666666666666667,1,"{""type"":""Point"",""coordinates"":[118.80933793131548,32.10008395237753]}"
00000000000000000055,1079.7272705349183,1,1,1,1,1,1,1,1,2,1,BAMS150,3900,86,1,50,50,50,50,50,50,50,50,30,1,50,1,1,0,32.51196151014634,118.81733293734412,0.5133333333333334,8,7,1,1,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7566666666666667,0.24333333333333335,0.0,1,"{""type"":""Point"",""coordinates"":[118.81733293734415,32.51196151014634]}"
00000000000000000051,1093.082282394897,1,2,2,1,2,2,1,2,2,1,BAMS150,4904,82,1,50,30,30,50,30,30,50,30,30,2,30,1,1,0,32.21533780333007,118.61664930287183,0.5266666666666666,3,3,6,5,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.7633333333333333,0.23666666666666666,0.0,1,"{""type"":""Point"",""coordinates"":[118.61664930287186,32.21533780333007]}"
00000000000000000079,950.0108520504707,3,3,2,2,2,2,2,2,2,2,BAMS150,8995,122,2,80,80,10,10,10,10,10,10,10,2,10,0,0,1,32.045915540745135,118.82892120450929,0.5166666666666666,0,0,7,6,2,2,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.009999999776482582,0.7533333333333333,0.23666666666666666,2,"{""type"":""Point"",""coordinates"":[118.82892120450929,32.045915540745135]}"
00000000000000000039,1168.7475502142042,2,2,2,2,2,2,2,2,2,2,BAMS150,9146,58,2,60,60,60,60,60,60,60,30,30,2,60,0,0,0,31.933356635644955,118.4465083880596,0.5133333333333333,0,0,9,8,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.05333333333333334,0.7300000190734863,0.21666666666666667,2,"{""type"":""Point"",""coordinates"":[118.44650838805963,31.93335663564495]}"
00000000000000000042,1142.0376191160556,2,2,2,2,2,2,2,2,3,2,BAMS150,5658,67,2,40,40,40,40,40,40,40,40,80,2,40,0,0,1,31.342534673279545,118.74169479042126,0.5066666666666666,0,0,8,7,1,1,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.18000000715255737,0.6866666666666666,0.13333333333333333,2,"{""type"":""Point"",""coordinates"":[118.74169479042128,31.342534673279545]}"
0000000000000000004e,1105.8515595972804,2,2,2,2,2,1,2,1,1,2,BAMS150,5291,79,2,10,10,10,10,10,50,10,50,50,2,10,1,1,0,31.95329923495241,118.77708841261556,0.5066666666666666,3,3,6,5,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.20000000298023224,0.7066666666666667,0.09333333333333334,1,"{""type"":""Point"",""coordinates"":[118.77708841261556,31.953299234952418]}"
00000000000000000049,1121.381245961304,2,1,1,2,1,1,1,1,1,2,BAMS150,5262,74,2,10,50,50,10,50,50,50,50,50,1,50,1,1,0,31.90676650323502,118.90473901448895,0.5199999809265137,7,6,2,2,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.2199999988079071,0.7400000095367432,0.03999999910593033,1,"{""type"":""Point"",""coordinates"":[118.90473901448895,31.90676650323502]}"
00000000000000000017,1521.669899412582,2,2,2,2,2,2,2,2,2,2,BAMS150,6318,24,2,10,10,30,10,30,30,30,30,30,2,30,0,0,0,31.966863795742615,118.49681404397028,0.4766666666666666,0,0,9,8,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.22333333333333333,0.699999988079071,0.07666666666666666,2,"{""type"":""Point"",""coordinates"":[118.49681404397029,31.966863795742615]}"
00000000000000000015,1537.3243675342887,2,2,2,2,2,2,2,2,2,2,BAMS150,5300,22,2,10,10,10,30,30,10,30,30,10,2,30,0,0,0,31.918175107343338,119.10066157795542,0.5266666666666666,0,0,9,8,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.23666666666666666,0.7633333333333333,0.0,2,"{""type"":""Point"",""coordinates"":[119.10066157795542,31.918175107343334]}"
0000000000000000001e,1391.9237726048505,2,2,2,2,2,2,2,2,2,2,BAMS150,8055,31,2,30,30,10,30,30,30,10,30,10,2,30,0,0,0,31.99336409662414,118.42863191390562,0.5199999809265137,0,0,9,8,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.23666666666666666,0.7566666666666667,0.006666666666666667,2,"{""type"":""Point"",""coordinates"":[118.42863191390563,31.993364096624138]}"
